Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,17-Dec,Belfast,Royal Victoria,Type 1,"4,755.00","3,086.00",173,8014.00
2017/18,17-Dec,Belfast,RBHSC,Type 1,"2,705.00",842,0,3547.00
2017/18,17-Dec,Belfast,Royal Victoria (RAES),Type 2,"1,116.00",143,0,1259.00
2017/18,17-Dec,Northern,Antrim Area,Type 1,"3,939.00","2,593.00",649,7181.00
2017/18,17-Dec,Northern,Causeway,Type 1,"2,205.00","1,260.00",190,3655.00
2017/18,17-Dec,Northern,Mid-Ulster,Type 3,617,0,0,617.00
2017/18,17-Dec,South Eastern,Ards MIU,Type 3,752,0,0,752.00
2017/18,17-Dec,South Eastern,Bangor MIU,Type 3,610,0,0,610.00
2017/18,17-Dec,South Eastern,Downe,Type 2,"1,567.00",222,40,1829.00
2017/18,17-Dec,South Eastern,Lagan Valley,Type 2,"1,518.00",345,24,1887.00
2017/18,17-Dec,South Eastern,Ulster,Type 1,"4,653.00","2,575.00",642,7870.00
2017/18,17-Dec,Southern,Craigavon Area,Type 1,"4,188.00","2,812.00",343,7343.00
2017/18,17-Dec,Southern,Daisy Hill,Type 1,"3,235.00","1,204.00",79,4518.00
2017/18,17-Dec,Southern,South Tyrone,Type 3,"2,116.00",1,0,2117.00
2017/18,17-Dec,Western,Altnagelvin Area,Type 1,"3,773.00","1,727.00",76,5576.00
2017/18,17-Dec,Western,South West Acute,Type 1,"2,111.00",856,24,2991.00
2017/18,17-Dec,Western,Tyrone County,Type 3,"1,227.00",3,0,1230.00
2017/18,18-Jan,Belfast,Mater,Type 1,"2,700.00",925,275,3900.00
2017/18,18-Jan,Belfast,Royal Victoria,Type 1,"4,567.00","2,933.00",542,8042.00
2017/18,18-Jan,Belfast,RBHSC,Type 1,"2,482.00",652,0,3134.00
2017/18,18-Jan,Belfast,Royal Victoria (RAES),Type 2,"1,254.00",144,0,1398.00
2017/18,18-Jan,Northern,Antrim Area,Type 1,"3,579.00","2,163.00",745,6487.00
2017/18,18-Jan,Northern,Causeway,Type 1,"2,094.00","1,082.00",358,3534.00
2017/18,18-Jan,Northern,Mid-Ulster,Type 3,768,0,0,768.00
2017/18,18-Jan,South Eastern,Ards MIU,Type 3,912,0,0,912.00
2017/18,18-Jan,South Eastern,Bangor MIU,Type 3,820,0,0,820.00
2017/18,18-Jan,South Eastern,Downe,Type 2,"1,631.00",208,28,1867.00
2017/18,18-Jan,South Eastern,Lagan Valley,Type 2,"1,635.00",363,40,2038.00
2017/18,18-Jan,South Eastern,Ulster,Type 1,"4,346.00","2,319.00",732,7397.00
2017/18,18-Jan,Southern,Craigavon Area,Type 1,"3,570.00","2,961.00",499,7030.00
2017/18,18-Jan,Southern,Daisy Hill,Type 1,"2,873.00","1,107.00",347,4327.00
2017/18,18-Jan,Southern,South Tyrone,Type 3,"2,352.00",0,0,2352.00
2017/18,18-Jan,Western,Altnagelvin Area,Type 1,"3,284.00","1,702.00",240,5226.00
2017/18,18-Jan,Western,South West Acute,Type 1,"1,721.00",977,126,2824.00
2017/18,18-Jan,Western,Tyrone County,Type 3,"1,229.00",1,0,1230.00
2017/18,18-Feb,Belfast,Mater,Type 1,"2,477.00","1,112.00",154,3743.00
2017/18,18-Feb,Belfast,Royal Victoria,Type 1,"4,044.00","2,908.00",320,7272.00
2017/18,18-Feb,Belfast,RBHSC,Type 1,"2,136.00",997,0,3133.00
2017/18,18-Feb,Belfast,Royal Victoria (RAES),Type 2,"1,111.00",218,0,1329.00
2017/18,18-Feb,Northern,Antrim Area,Type 1,"3,643.00","2,207.00",473,6323.00
2017/18,18-Feb,Northern,Causeway,Type 1,"2,314.00",947,61,3322.00
2017/18,18-Feb,Northern,Mid-Ulster,Type 3,845,0,0,845.00
2017/18,18-Feb,South Eastern,Ards MIU,Type 3,897,0,0,897.00
2017/18,18-Feb,South Eastern,Bangor MIU,Type 3,757,0,0,757.00
2017/18,18-Feb,South Eastern,Downe,Type 2,"1,482.00",165,34,1681.00
2017/18,18-Feb,South Eastern,Lagan Valley,Type 2,"1,500.00",400,26,1926.00
2017/18,18-Feb,South Eastern,Ulster,Type 1,"4,068.00","2,113.00",724,6905.00
2017/18,18-Feb,Southern,Craigavon Area,Type 1,"3,619.00","2,665.00",365,6649.00
2017/18,18-Feb,Southern,Daisy Hill,Type 1,"2,910.00","1,152.00",120,4182.00
2017/18,18-Feb,Southern,South Tyrone,Type 3,"2,426.00",2,0,2428.00
2017/18,18-Feb,Western,Altnagelvin Area,Type 1,"3,183.00","1,572.00",157,4912.00
2017/18,18-Feb,Western,South West Acute,Type 1,"1,605.00",978,33,2616.00
2017/18,18-Feb,Western,Tyrone County,Type 3,"1,176.00",4,0,1180.00
2017/18,18-Mar,Belfast,Mater,Type 1,"2,603.00","1,352.00",255,4210.00
2017/18,18-Mar,Belfast,Royal Victoria,Type 1,"4,124.00","3,609.00",527,8260.00
2017/18,18-Mar,Belfast,RBHSC,Type 1,"2,461.00","1,031.00",0,3492.00
2017/18,18-Mar,Belfast,Royal Victoria (RAES),Type 2,"1,216.00",210,0,1426.00
